Gene	Chromosome	Start	End	Strand
FAM186B	chr12	49582885	49605639	-
FAM187A	chr17	44899712	44905390	+
FAM187B	chr19	35224800	35228729	-
FAM189A1	chr15	29120254	29570723	-
FAM189A2	chr9	69324567	69392558	+
FAM189B	chr1	155247205	155255483	-
FAM193A	chr4	2536647	2732573	+
FAM193B	chr5	177519789	177554563	-
FAM199X	chrX	104166453	104195902	+
FAM200A	chr7	99546300	99558536	-
FAM200B	chr4	15681718	15690447	+
FAM204A	chr10	118297925	118342324	-
FAM205A	chr9	34723053	34729488	-
FAM205C	chr9	34889066	34895764	-
FAM207A	chr21	44940012	44976989	+
FAM209A	chr20	56524744	56526152	+
FAM209B	chr20	56533246	56536520	+
FAM20A	chr17	68535116	68601367	-
FAM20B	chr1	179025804	179076567	+
FAM20C	chr7	192571	260772	+
FAM210A	chr18	13663347	13726663	-
FAM210B	chr20	56358974	56368663	+
FAM214A	chr15	52581321	52709817	-
FAM214B	chr9	35104112	35116341	-
FAM216A	chr12	110468845	110490385	+
FAM216B	chr13	42781550	42791549	+
FAM217A	chr6	4068367	4087027	-
FAM217B	chr20	59933764	59948680	+
FAM219A	chr9	34398184	34458570	-
FAM219B	chr15	74899992	74906883	-
FAM220A	chr7	6329411	6348975	-
FAM221A	chr7	23680130	23702650	+
FAM221B	chr9	35816391	35828732	-
FAM222A	chr12	109713825	109770495	+
FAM222B	chr17	28755978	28855232	-
FAM227A	chr22	38578120	38656629	-
FAM227B	chr15	49326970	49620929	-
FAM228A	chr2	24175053	24200849	+
FAM228B	chr2	24076882	24169638	+
FAM229A	chr1	32361270	32362243	-
FAM229B	chr6	112087591	112102790	+
FAM234A	chr16	234521	270080	+
FAM234B	chr12	13044381	13142521	+
FAM236A	chrX	72938163	72938958	+
FAM236B	chrX	72781865	72782660	-
FAM236C	chrX	72912615	72913401	+
FAM236D	chrX	72807425	72808210	-
FAM237A	chr2	206642412	206649011	+
FAM237B	chr7	90316503	90321308	-
FAM240A	chr3	46612435	46626543	+
FAM240B	chr9	38694263	38720428	-
FAM240C	chr2	241893985	241902551	-
FAM241A	chr4	112145454	112195256	+
FAM241B	chr10	69630247	69633596	+
FAM243A	chr21	34400112	34401072	-
FAM243B	chr21	7768884	7770591	-
FAM24A	chr10	122910610	122913111	+
FAM24B	chr10	122849078	122879605	-
FAM25A	chr10	87020294	87024730	+
FAM25C	chr10	47995322	47999791	-
FAM25G	chr10	47487219	47491693	-
FAM32A	chr19	16185380	16192046	+
FAM3A	chrX	154506159	154516242	-
FAM3B	chr21	41316801	41357727	+
FAM3C	chr7	121348878	121396364	-
FAM3D	chr3	58633946	58666834	-
FAM43A	chr3	194685883	194689037	+
FAM43B	chr1	20552573	20555020	+
FAM47A	chrX	34129756	34132314	-
FAM47B	chrX	34942796	34944915	+
FAM47C	chrX	37008366	37011664	+
FAM47E	chr4	76214040	76283783	+
FAM47E-STBD1	chr4	76251721	76311129	+
FAM50A	chrX	154444141	154450654	+
FAM50B	chr6	3849373	3851320	+
FAM53A	chr4	1617915	1684302	-
FAM53B	chr10	124619292	124744378	-
FAM53C	chr5	138337511	138349729	+
FAM71A	chr1	212624474	212626775	+
FAM71B	chr5	157161846	157166264	-
FAM71C	chr12	99647753	99650114	+
FAM71D	chr14	67189393	67228550	+
FAM71E1	chr19	50466788	50476848	-
FAM71E2	chr19	55354908	55363260	-
FAM71F1	chr7	128709061	128731743	+
FAM71F2	chr7	128672292	128687872	+
FAM72A	chr1	206186179	206204093	-
FAM72B	chr1	121167646	121185539	-
FAM72C	chr1	143955364	143971965	-
FAM72D	chr1	145095974	145112696	+
FAM76A	chr1	27725961	27763116	+
FAM76B	chr11	95768953	95790409	-
FAM78A	chr9	131258076	131276510	-
FAM78B	chr1	166069299	166167001	-
FAM81A	chr15	59372693	59523555	+
FAM81B	chr5	95391366	95450454	+
FAM83A	chr8	123179047	123210079	+
FAM83B	chr6	54846771	54945099	+
FAM83C	chr20	35285731	35292425	-
FAM83D	chr20	38926312	38953106	+
FAM83E	chr19	48600810	48614815	-
FAM83F	chr22	39994954	40043534	+
FAM83G	chr17	18968789	19004764	-
FAM83H	chr8	143723933	143738234	-
FAM86B1	chr8	12182451	12194127	-
FAM86B2	chr8	12425614	12436343	-
FAM89A	chr1	231018958	231040254	-
FAM89B	chr11	65572349	65574198	+
FAM8A1	chr6	17600302	17611715	+
FAM90A1	chr12	8221260	8227618	-
FAM90A10P	chr8	7768977	7771988	+
FAM90A14P	chr8	7715443	7718453	+
FAM90A16P	chr8	7730739	7733749	+
FAM90A17P	chr8	7746034	7749044	+
FAM90A18P	chr8	7723091	7726101	+
FAM90A19P	chr8	7753682	7756692	+
FAM90A22P	chr8	7571995	7575006	-
FAM90A23P	chr8	7579644	7582653	-
FAM90A26	chr4	9170409	9176730	+
FAM90A7P	chr8	7556700	7559712	-
FAM90A8P	chr8	7738387	7741396	+
FAM90A9P	chr8	7761330	7764340	+
FAM91A1	chr8	123768439	123815452	+
FAM98A	chr2	33583660	33599299	-
FAM98B	chr15	38454127	38487710	+
FAM98C	chr19	38403135	38409084	+
FAM9A	chrX	8790795	8801383	-
FAM9B	chrX	9024232	9295682	-
FAM9C	chrX	13035617	13044682	-
FAN1	chr15	30903852	30943108	+
FANCA	chr16	89737549	89816657	-
FANCB	chrX	14843405	14873069	-
FANCC	chr9	95099054	95317709	-
FANCD2	chr3	10026414	10101932	+
FANCD2OS	chr3	10081320	10108255	-
FANCE	chr6	35452338	35467102	+
FANCF	chr11	22622533	22625823	-
FANCG	chr9	35073839	35079942	-
FANCI	chr15	89243945	89317261	+
FANCL	chr2	58159243	58241372	-
FANCM	chr14	45135930	45200890	+
FANK1	chr10	125896564	126009592	+
FAP	chr2	162170684	162243456	-
FAR1	chr11	13668668	13732346	+
FAR2	chr12	29149103	29340980	+
FARP1	chr13	98142562	98455176	+
FARP2	chr2	241356285	241494841	+
FARS2	chr6	5261044	5771583	+
FARSA	chr19	12922479	12934037	-
FARSB	chr2	222566899	222656092	-
FAS	chr10	88990531	89017059	+
FASLG	chr1	172659103	172666876	+
FASN	chr17	82078338	82098294	-
FASTK	chr7	151076593	151080862	-
FASTKD1	chr2	169528508	169573875	-
FASTKD2	chr2	206765357	206796189	+
FASTKD3	chr5	7859159	7869037	-
FASTKD5	chr20	3146519	3159865	-
FAT1	chr4	186587794	186726722	-
FAT2	chr5	151504093	151568944	-
FAT3	chr11	92352096	92896470	+
FAT4	chr4	125314955	125492932	+
FATE1	chrX	151716035	151723194	+
FAU	chr11	65120630	65122177	-
FAXC	chr6	99271168	99349674	-
FAXDC2	chr5	154818492	154859252	-
FBF1	chr17	75909574	75941038	-
FBH1	chr10	5890203	5937594	+
FBL	chr19	39834458	39846379	-
FBLIM1	chr1	15756607	15786594	+
FBLL1	chr5	168529305	168530634	+
FBLN1	chr22	45502238	45601135	+
FBLN2	chr3	13549125	13638422	+
FBLN5	chr14	91869441	91947987	-
FBLN7	chr2	112138385	112188218	+
FBN1	chr15	48408313	48645721	-
FBN2	chr5	128257909	128659185	-
FBN3	chr19	8065402	8149592	-
FBP1	chr9	94603133	94640249	-
FBP2	chr9	94558720	94593824	-
FBRS	chr16	30658431	30670810	+
FBRSL1	chr12	132489551	132585188	+
FBXL12	chr19	9810267	9827816	-
FBXL13	chr7	102813230	103074843	-
FBXL14	chr12	1565993	1594581	-
FBXL15	chr10	102419189	102423136	+
FBXL16	chr16	692500	705808	-
FBXL17	chr5	107859035	108382098	-
FBXL18	chr7	5475797	5513809	-
FBXL19	chr16	30923055	30948783	+
FBXL2	chr3	33277442	33388092	+
FBXL20	chr17	39252663	39402523	-
FBXL22	chr15	63597353	63602428	+
FBXL3	chr13	77005260	77027195	-
FBXL4	chr6	98868535	98948006	-
FBXL5	chr4	15604381	15681619	-
FBXL6	chr8	144355431	144358472	-
FBXL7	chr5	15500180	15939795	+
FBXL8	chr16	67159932	67164570	+
FBXO10	chr9	37510892	37576380	-
FBXO11	chr2	47789322	47906498	-
FBXO15	chr18	74073368	74147843	-
FBXO16	chr8	28428408	28490278	-
FBXO17	chr19	38941401	38975742	-
FBXO2	chr1	11648387	11655785	-
FBXO21	chr12	117141991	117190471	-
FBXO22	chr15	75903878	75942511	+
FBXO24	chr7	100583982	100601117	+
FBXO25	chr8	406428	477967	+
FBXO27	chr19	38990714	39032785	-
FBXO28	chr1	224114111	224162047	+
FBXO3	chr11	33740939	33774543	-
FBXO30	chr6	145793502	145814795	-
FBXO31	chr16	87326987	87389850	-
FBXO32	chr8	123497889	123541206	-
FBXO33	chr14	39397669	39432500	-
FBXO34	chr14	55271421	55353611	+
FBXO36	chr2	229922302	230013119	+
FBXO38	chr5	148383935	148442836	+
FBXO39	chr17	6776215	6787646	+
FBXO4	chr5	41925254	41941743	+
FBXO40	chr3	121593379	121630295	+
FBXO41	chr2	73254682	73284431	-
FBXO42	chr1	16246840	16352480	-
FBXO43	chr8	100133351	100145817	-
FBXO44	chr1	11654375	11663327	+
FBXO45	chr3	196568611	196589059	+
FBXO46	chr19	45710629	45730896	-
FBXO47	chr17	38936432	38967403	-
FBXO48	chr2	68459422	68467294	-
FBXO5	chr6	152970529	152983579	-
FBXO6	chr1	11664200	11674354	+
FBXO7	chr22	32474811	32498829	+
FBXO8	chr4	174236658	174283667	-
FBXO9	chr6	53051991	53100873	+
FBXW10	chr17	18744026	18779349	+
FBXW11	chr5	171861549	172006873	-
FBXW12	chr3	48372219	48394725	+
FBXW2	chr9	120756974	120793416	-
FBXW4	chr10	101610666	101695259	-
FBXW5	chr9	136940435	136944738	-
FBXW7	chr4	152320544	152536092	-
FBXW8	chr12	116910950	117031148	+
FBXW9	chr19	12688916	12696631	-
FCAMR	chr1	206957967	206970625	-
FCAR	chr19	54874235	54891420	+
FCER1A	chr1	159289714	159308224	+
FCER1G	chr1	161215279	161220699	+
FCER2	chr19	7688758	7702146	-
FCF1	chr14	74713144	74738620	+
FCGBP	chr19	39863323	39934626	-
FCGR1A	chr1	149782671	149792518	+
FCGR1B	chr1	121087345	121097161	+
FCGR2A	chr1	161505430	161519967	+
FCGR2B	chr1	161663147	161678654	+
FCGR2C	chr1	161581339	161600242	+
FCGR3A	chr1	161541759	161550737	-
FCGR3B	chr1	161623196	161631963	-
FCGRT	chr19	49512375	49526428	+
FCHO1	chr19	17747718	17788568	+
FCHO2	chr5	72956041	73090522	+
FCHSD1	chr5	141639302	141651418	-
FCHSD2	chr11	72836745	73142318	-
FCMR	chr1	206903317	206923247	-
FCN1	chr9	134903232	134917912	-
FCN2	chr9	134880810	134887523	+
FCN3	chr1	27369110	27374824	-
FCRL1	chr1	157794403	157820120	-
FCRL2	chr1	157745733	157777132	-
FCRL3	chr1	157676481	157700769	-
FCRL4	chr1	157573747	157598085	-
FCRL5	chr1	157513377	157552515	-
FCRL6	chr1	159800512	159816257	+
FCRLA	chr1	161706972	161714352	+
FCRLB	chr1	161721563	161728143	+
FCSK	chr16	70454595	70480274	+
FDCSP	chr4	70226124	70235252	+
FDFT1	chr8	11795573	11839304	+
FDPS	chr1	155308748	155320666	+
FDX1	chr11	110429948	110464884	+
FDX2	chr19	10310045	10316015	-
FDXACB1	chr11	111874056	111881243	-
FDXR	chr17	74862497	74873031	-
FECH	chr18	57544377	57586702	-
FEM1A	chr19	4791734	4801273	+
FEM1B	chr15	68277745	68295862	+
FEM1C	chr5	115520908	115544775	-
FEN1	chr11	61792911	61797238	+
FER	chr5	108747897	109196841	+
FER1L5	chr2	96642764	96704887	+
FER1L6	chr8	123851987	124120061	+
FERD3L	chr7	19144782	19145421	-
FERMT1	chr20	6074845	6123030	-
FERMT2	chr14	52857268	52952435	-
FERMT3	chr11	64206678	64223886	+
FES	chr15	90883695	90895776	+
FETUB	chr3	186635969	186653141	+
FEV	chr2	218981087	218985184	-
FEZ1	chr11	125442881	125592510	-
FEZ2	chr2	36552258	36646087	-
FEZF1	chr7	122301303	122310691	-
FEZF2	chr3	62369681	62374324	-
FFAR1	chr19	35351552	35353862	+
FFAR2	chr19	35448301	35451767	+
FFAR3	chr19	35358460	35360489	+
FFAR4	chr10	93566665	93604480	+
FGA	chr4	154583128	154590745	-
FGB	chr4	154563011	154572807	+
FGD1	chrX	54445454	54496234	-
FGD2	chr6	37005655	37029069	+
FGD3	chr9	92947523	93036236	+
FGD4	chr12	32399529	32646050	+
FGD5	chr3	14810853	14934571	+
FGD6	chr12	95076749	95217467	-
FGF1	chr5	142592178	142698070	-
FGF10	chr5	44300247	44389706	-
FGF11	chr17	7438273	7444937	+
FGF12	chr3	192139395	192767764	-
FGF13	chrX	138614727	139222777	-
FGF14	chr13	101710804	102401774	-
FGF16	chrX	77447389	77457278	+
FGF17	chr8	22042398	22048809	+
FGF18	chr5	171419647	171457626	+
FGF19	chr11	69698238	69704022	-
FGF2	chr4	122826708	122898236	+
FGF20	chr8	16992181	17002345	-
FGF21	chr19	48755524	48758333	+
FGF22	chr19	639895	644371	+
FGF23	chr12	4368227	4379712	-
FGF3	chr11	69809968	69819416	-
FGF4	chr11	69771022	69775341	-
FGF5	chr4	80266599	80291017	+
FGF6	chr12	4428156	4445614	-
FGF7	chr15	49423237	49488775	+
FGF8	chr10	101770130	101780369	-
FGF9	chr13	21671073	21704498	+
FGFBP1	chr4	15935577	15938740	-
FGFBP2	chr4	15960245	15963175	-
FGFBP3	chr10	91906584	91909486	-
FGFR1	chr8	38411138	38468834	-
FGFR1OP2	chr12	26938470	26966650	+
FGFR2	chr10	121478332	121598458	-
FGFR3	chr4	1793293	1808872	+
FGFR4	chr5	177086905	177098144	+
FGFRL1	chr4	1009979	1026898	+
FGG	chr4	154604134	154612967	-
FGGY	chr1	59296638	59762730	+
FGL1	chr8	17864380	17910365	-
FGL2	chr7	77193369	77199848	-
FGR	chr1	27612064	27635185	-
FH	chr1	241497603	241519755	-
FHAD1	chr1	15247272	15398126	+
FHDC1	chr4	152936352	152979696	+
FHIT	chr3	59747277	61251459	-
FHL1	chrX	136146702	136211359	+
FHL2	chr2	105357712	105438513	-
FHL3	chr1	37996770	38005514	-
FHL5	chr6	96562548	96616636	+
FHOD1	chr16	67229389	67247481	-
FHOD3	chr18	36297714	36780055	+
FIBCD1	chr9	130902438	130939247	-
FIBIN	chr11	26994112	26997087	+
FIBP	chr11	65883740	65888531	-
FICD	chr12	108515277	108525832	+
FIG4	chr6	109690609	109878098	+
FIGLA	chr2	70777310	70790643	-
FIGN	chr2	163593396	163736012	-
FIGNL1	chr7	50444128	50542535	-
FIGNL2	chr12	51817840	51848766	-
FILIP1	chr6	75291859	75493800	-
FILIP1L	chr3	99830479	100114513	-
FIP1L1	chr4	53377641	53460862	+
FIS1	chr7	101239472	101252316	-
FITM1	chr14	24131275	24132849	+
FITM2	chr20	44302840	44311202	-
FIZ1	chr19	55591376	55601970	-
FJX1	chr11	35618460	35620865	+
FKBP10	chr17	41812680	41823213	+
FKBP11	chr12	48921959	48925520	-
FKBP14	chr7	30010587	30026702	-
FKBP15	chr9	113161006	113221318	-
FKBP1A	chr20	1368978	1393172	-
FKBP1B	chr2	24049701	24063681	+
FKBP1C	chr6	63211446	63213024	+
FKBP2	chr11	64241095	64244132	+
FKBP3	chr14	45115599	45135319	-
FKBP4	chr12	2794970	2805423	+
FKBP5	chr6	35573585	35728583	-
FKBP6	chr7	73328161	73358637	+
FKBP7	chr2	178463664	178478600	-
FKBP8	chr19	18531751	18544077	-
FKBP9	chr7	32957404	33006930	+
FKBPL	chr6	32128707	32130288	-
FKRP	chr19	46746046	46758575	+
FKTN	chr9	105558130	105653820	+
FLACC1	chr2	201288271	201357398	-
FLAD1	chr1	154983344	154993111	+
FLCN	chr17	17212212	17237182	-
FLG	chr1	152302165	152325239	-
FLG2	chr1	152348735	152360006	-
FLI1	chr11	128686535	128813267	+
FLII	chr17	18244815	18258738	-
FLNA	chrX	154348529	154374638	-
FLNB	chr3	58008400	58172251	+
FLNC	chr7	128830377	128859274	+
FLOT1	chr6	30727709	30742687	-
FLOT2	chr17	28879335	28897733	-
FLRT1	chr11	64103188	64119173	+
FLRT2	chr14	85530144	85654428	+
FLRT3	chr20	14322985	14337612	-
FLT1	chr13	28300346	28495145	-
FLT3	chr13	28003274	28100576	-
FLT3LG	chr19	49474215	49486231	+
FLT4	chr5	180601506	180649624	-
FLVCR1	chr1	212858275	212899363	+
FLVCR2	chr14	75578620	75663164	+
FLYWCH1	chr16	2911931	2951208	+
FLYWCH2	chr16	2883213	2899382	+
FMC1	chr7	139341337	139346328	+
FMC1-LUC7L2	chr7	139341360	139422599	+
FMN1	chr15	32765544	33194714	-
FMN2	chr1	240014348	240475187	+
FMNL1	chr17	45221885	45247318	+
FMNL2	chr2	152335174	152649826	+
FMNL3	chr12	49636499	49708165	-
FMO1	chr1	171248471	171285978	+
FMO2	chr1	171185300	171212686	+
FMO3	chr1	171090905	171117819	+
FMO4	chr1	171314183	171342084	+
FMO5	chr1	147184305	147225873	-
FMOD	chr1	203340628	203351758	-
FMR1	chrX	147911919	147951125	+
FMR1NB	chrX	147981337	148026665	+
FN1	chr2	215360440	215436073	-
FN3K	chr17	82735615	82751196	+
FN3KRP	chr17	82716706	82728013	+
FNBP1	chr9	129887187	130043194	-
FNBP1L	chr1	93448131	93554661	+
FNBP4	chr11	47716494	47767441	-
FNDC1	chr6	159169400	159272108	+
FNDC10	chr1	1598012	1600135	-
FNDC11	chr20	63547891	63556695	+
FNDC3A	chr13	48975912	49209779	+
FNDC3B	chr3	172039578	172401669	+
FNDC4	chr2	27491883	27495200	-
FNDC5	chr1	32862268	32872480	-
FNDC7	chr1	108712908	108742749	+
FNDC8	chr17	35121615	35130732	+
FNDC9	chr5	157341598	157345677	-
FNIP1	chr5	131641714	131797063	-
FNIP2	chr4	158769026	158908050	+
FNTA	chr8	43056323	43085785	+
FNTB	chr14	64986895	65062650	+
FO393400.1	chr20	32632183	32743523	-
FO681492.1	chr10	47749758	47763592	-
FOCAD	chr9	20658309	20995955	+
FOLH1	chr11	49145092	49208636	-
FOLR1	chr11	72189558	72196323	+
FOLR2	chr11	72216601	72221950	+
FOLR3	chr11	72114869	72139892	+
FOS	chr14	75278826	75282230	+
FOSB	chr19	45467995	45475179	+
FOSL1	chr11	65892049	65900573	-
FOSL2	chr2	28392802	28417317	+
FOXA1	chr14	37589552	37595249	-
FOXA2	chr20	22581005	22585455	-
FOXA3	chr19	45863989	45873797	+
FOXB1	chr15	60004311	60007444	+
FOXB2	chr9	77019655	77020953	+
FOXC1	chr6	1609915	1613897	+
FOXC2	chr16	86566829	86569728	+
FOXD1	chr5	73446266	73448777	-
FOXD2	chr1	47438044	47440691	+
FOXD3	chr1	63322567	63325128	+
FOXD4	chr9	116231	118204	-
FOXD4L1	chr2	113498665	113501155	+
FOXD4L3	chr9	68302867	68305084	+
FOXD4L4	chr9	65736555	65738784	+
FOXD4L5	chr9	65282101	65285209	-
FOXD4L6	chr9	41126430	41128463	-
FOXE1	chr9	97853226	97856717	+
FOXE3	chr1	47416285	47418052	+
FOXF1	chr16	86510527	86515422	+
FOXF2	chr6	1389576	1395603	+
FOXG1	chr14	28766787	28770277	+
FOXH1	chr8	144473412	144475849	-
FOXI1	chr5	170105897	170109734	+
FOXI2	chr10	127737185	127741183	+
FOXI3	chr2	88446787	88452693	-
FOXJ1	chr17	76136333	76141245	-
FOXJ2	chr12	8032716	8055517	+
FOXJ3	chr1	42176539	42335877	-
FOXK1	chr7	4682295	4771442	+
FOXK2	chr17	82519732	82604602	+
FOXL1	chr16	86576368	86583478	+
FOXL2	chr3	138944224	138947137	-
FOXL2NB	chr3	138947217	138953990	+
FOXL3	chr7	290170	291488	+
FOXM1	chr12	2857680	2877174	-
FOXN1	chr17	28506243	28538896	+
FOXN2	chr2	48314637	48379295	+
FOXN3	chr14	89124871	89619149	-
FOXN4	chr12	109277978	109309284	-
FOXO1	chr13	40555667	40666641	-
FOXO3	chr6	108559835	108684774	+
FOXO3B	chr17	18663505	18682262	-
FOXO4	chrX	71095851	71103532	+
FOXO6	chr1	41361931	41382678	+
FOXP1	chr3	70952817	71583989	-
FOXP2	chr7	114087747	114693772	+
FOXP3	chrX	49250438	49270477	-
FOXP4	chr6	41546426	41602384	+
FOXQ1	chr6	1312098	1314758	+
FOXR1	chr11	118971761	118981287	+
FOXR2	chrX	55623400	55626192	+
FOXRED1	chr11	126269154	126278126	+
FOXRED2	chr22	36487190	36507101	-
FOXS1	chr20	31844303	31845604	-
FP565260.1	chr21	5130871	5154658	-
FP565260.2	chr21	5116343	5133805	-
FP565260.3	chr21	5022493	5040666	+
FP565260.4	chr21	5011799	5017145	+
FP565260.6	chr21	5155499	5163695	-
FPGS	chr9	127802858	127814081	+
FPGT	chr1	74198212	74207234	+
FPGT-TNNI3K	chr1	74198235	74543982	+
FPR1	chr19	51745172	51804110	-
FPR2	chr19	51752026	51770531	+
FPR3	chr19	51795157	51826190	+
FRA10AC1	chr10	93667883	93702592	-
FRAS1	chr4	78057323	78544269	+
FRAT1	chr10	97319271	97321915	+
FRAT2	chr10	97332497	97334729	-
FREM1	chr9	14734666	14910995	-
FREM2	chr13	38687077	38887131	+
FREM3	chr4	143577302	143700675	-
FRG1	chr4	189940870	189963192	+
FRG2	chr4	190024351	190027257	-
FRG2B	chr10	133623895	133626795	-
FRG2C	chr3	75664330	75667220	+
FRK	chr6	115931149	116060891	-
FRMD1	chr6	168053166	168101511	-
FRMD3	chr9	83242990	83538546	-
FRMD4A	chr10	13643706	14462142	-
FRMD4B	chr3	69168782	69542583	-
FRMD5	chr15	43870761	44195271	-
FRMD6	chr14	51489137	51730727	+
FRMD7	chrX	132076993	132128020	-
FRMD8	chr11	65386621	65413525	+
FRMPD1	chr9	37650954	37746904	+
FRMPD2	chr10	48155673	48274696	-
FRMPD3	chrX	107522450	107605251	+
FRMPD4	chrX	11822423	12724523	+
FRRS1	chr1	99703970	99766635	-
FRRS1L	chr9	109130293	109167295	-
FRS2	chr12	69470349	69579789	+
FRS3	chr6	41770176	41786542	-
FRY	chr13	31846713	32299125	+
FRYL	chr4	48497357	48780279	-
FRZB	chr2	182833275	182866637	-
FSBP	chr8	94427716	94436944	-
FSCB	chr14	44504149	44507283	-
FSCN1	chr7	5592816	5606655	+
FSCN2	chr17	81528377	81537130	+
FSCN3	chr7	127593728	127602144	+
FSD1	chr19	4304598	4323836	+
FSD1L	chr9	105447796	105552433	+
FSD2	chr15	82755362	82806070	-
FSHB	chr11	30231016	30235261	+
FSHR	chr2	48962157	49154515	-
FSIP1	chr15	39600031	39782841	-
FSIP2	chr2	185738804	185833290	+
FST	chr5	53480626	53487134	+
FSTL1	chr3	120392293	120450992	-
FSTL3	chr19	676392	683392	+
FSTL4	chr5	133196455	133612541	-
FSTL5	chr4	161383897	162164004	-
FTCD	chr21	46136262	46155579	-
FTCDNL1	chr2	199760544	199851173	-
FTH1	chr11	61959718	61967634	-
FTHL17	chrX	31071233	31072041	-
FTL	chr19	48965309	48966879	+
FTMT	chr5	121851882	121852833	+
FTO	chr16	53701692	54153448	+
FTSJ1	chrX	48476021	48486364	+
FTSJ3	chr17	63819433	63827663	-
FUBP1	chr1	77944055	77979110	-
FUBP3	chr9	130579577	130638352	+
FUCA1	chr1	23845077	23868290	-
FUCA2	chr6	143494812	143511720	-
FUNDC1	chrX	44523639	44542859	-
FUNDC2	chrX	155026844	155060304	+
FUOM	chr10	133355158	133358025	-
FURIN	chr15	90868588	90883458	+
FUS	chr16	31180139	31191605	+
FUT1	chr19	48748011	48755390	-
FUT10	chr8	33370824	33473146	-
FUT11	chr10	73772276	73776219	+
FUT2	chr19	48695971	48705951	+
FUT3	chr19	5842888	5851474	-
FUT4	chr11	94543840	94549898	+
FUT5	chr19	5865826	5870540	-
FUT6	chr19	5830408	5839717	-
FUT7	chr9	137030174	137032088	-
FUT8	chr14	65410592	65744121	+
FUT9	chr6	96015974	96215612	+
FUZ	chr19	49806866	49817376	-
FXN	chr9	69035752	69079076	+
FXR1	chr3	180868141	180982753	+
FXR2	chr17	7591230	7614897	-
FXYD1	chr19	35138824	35143109	+
FXYD2	chr11	117801730	117828698	-
FXYD3	chr19	35115879	35124324	+
FXYD4	chr10	43371636	43376335	+
FXYD5	chr19	35154730	35169881	+
FXYD6	chr11	117836976	117877486	-
FXYD6-FXYD2	chr11	117820163	117876667	-
FXYD7	chr19	35143250	35154302	+
FYB1	chr5	39105252	39274528	-
FYB2	chr1	56718789	56819404	-
FYCO1	chr3	45917899	45995824	-
FYN	chr6	111660332	111873452	-
FYTTD1	chr3	197737179	197787596	+
FZD1	chr7	91264433	91271326	+
FZD10	chr12	130162459	130165740	+
FZD2	chr17	44557484	44561262	+
FZD3	chr8	28494205	28574267	+
FZD4	chr11	86945679	86955395	-
FZD5	chr2	207762598	207769906	-
FZD6	chr8	103298433	103332866	+
FZD7	chr2	202034587	202038445	+
FZD8	chr10	35638249	35642278	-
FZD9	chr7	73433778	73436120	+
FZR1	chr19	3506273	3538330	+
G0S2	chr1	209675412	209676390	+
G2E3	chr14	30559158	30620064	+
G3BP1	chr5	151771045	151812785	+
G3BP2	chr4	75642782	75724525	-
G6PC	chr17	42900797	42914438	+
G6PC2	chr2	168901291	168910000	+
G6PC3	chr17	44070735	44076344	+
G6PD	chrX	154531391	154547572	-
GAA	chr17	80101556	80119881	+
GAB1	chr4	143336762	143474568	+
GAB2	chr11	78215293	78418348	-
GAB3	chrX	154675249	154751077	-
GAB4	chr22	16961936	17008222	-
GABARAP	chr17	7240008	7242449	-
GABARAPL1	chr12	10212597	10223128	+
GABARAPL2	chr16	75566375	75577881	+
GABBR1	chr6	29555629	29633976	-
GABBR2	chr9	98288109	98708935	-
GABPA	chr21	25734570	25772460	+
GABPB1	chr15	50275392	50355408	-
GABPB2	chr1	151070761	151125542	+
GABRA1	chr5	161847063	161899981	+
GABRA2	chr4	46243548	46475230	-
GABRA3	chrX	152166234	152451315	-
GABRA4	chr4	46918900	46993581	-
GABRA5	chr15	26866911	26949208	+
GABRA6	chr5	161685721	161702592	+
GABRB1	chr4	46993723	47426447	+
GABRB2	chr5	161288429	161548227	-
GABRB3	chr15	26543546	26939539	-
GABRD	chr1	2019329	2030758	+
GABRE	chrX	151953124	151974676	-
GABRG1	chr4	46035769	46124054	-
GABRG2	chr5	162000057	162162977	+
GABRG3	chr15	26971181	27541984	+
GABRP	chr5	170763350	170814047	+
GABRQ	chrX	152637895	152657542	+
GABRR1	chr6	89177504	89231278	-
GABRR2	chr6	89254464	89315299	-
GABRR3	chr3	97986673	98035304	-
GAD1	chr2	170813213	170861151	+
GAD2	chr10	26216665	26304558	+
GADD45A	chr1	67685201	67688334	+
GADD45B	chr19	2476127	2478257	+
GADD45G	chr9	89605012	89606555	+
GADD45GIP1	chr19	12953119	12957223	-
GADL1	chr3	30726200	30894765	-
GAGE1	chrX	49599062	49606355	+
GAGE10	chrX	49303669	49319844	+
GAGE12B	chrX	49529869	49529985	+
GAGE12C	chrX	49532211	49539538	+
GAGE12D	chrX	49541767	49549094	+
GAGE12E	chrX	49551333	49558649	+
GAGE12F	chrX	49551278	49568218	+
GAGE12G	chrX	49570434	49577754	+
GAGE12H	chrX	49579983	49587301	+
GAGE12J	chrX	49322057	49329384	+
GAGE13	chrX	49331616	49338952	+
GAGE2A	chrX	49589529	49596827	+
GAGE2E	chrX	49341192	49345922	+
GAK	chr4	849277	932373	-
GAL	chr11	68684544	68691175	+
GAL3ST1	chr22	30554635	30574665	-
GAL3ST2	chr2	241776822	241804287	+
GAL3ST3	chr11	66040765	66049161	-
GAL3ST4	chr7	100159244	100168617	-
GALC	chr14	87933014	87993665	-
GALE	chr1	23795599	23800770	-
GALK1	chr17	75751594	75765236	-
GALK2	chr15	49155765	49367869	+
